,Accuracy,Precision,Recall,F1-Score,Precision (Real),Precision (Fake),Recall (Real),Recall (Fake)
Logistic Regression,0.8832696265804175,0.8837499793513267,0.8832696265804175,0.8832953053513991,0.8987043580683156,0.8678802113916618,0.8715019988577956,0.8957575757575758
Multinomial Naive Bayes,0.8494560423404881,0.8502323339643121,0.8494560423404881,0.8494842876203919,0.8685306365258775,0.8308139534883721,0.8338092518560822,0.8660606060606061
Support Vector Machine,0.898265216112908,0.8983171079393351,0.898265216112908,0.8982759359398631,0.9044329303396661,0.8918269230769231,0.8972015990862364,0.8993939393939394
Random Forest,0.8435754189944135,0.8477593908488436,0.8435754189944135,0.8433968208596497,0.886984126984127,0.8061336254107339,0.797829811536265,0.8921212121212121
Gradient Boosting,0.8485739488385768,0.8505989347561627,0.8485739488385768,0.8485459061941668,0.8786764705882353,0.8208027133973996,0.8189605939463164,0.88
Ensemble (Balanced),0.8694501617171421,0.8704232106254501,0.8702962809130713,0.8694389879064246,,,,
